DealerPosition, SmallBlind, BigBlind, Money1, Money2, Cards
0, 5, 10, 500, 500, 2h,4d,3d,Ks,7d,Td,6c,5s,4c,Js,Ts,Kh,Ad,8c,8d,5h,Kd,Qh,7s,4s,3s,9d,6d,5c,Tc,9c,3h,Ac,2c,6s,Kc,7h,Jh,7c,8h,5d,9s,Qc,Qs,3c,Ah,8s,2s,As,9h,6h,4h,Qd,2d,Jd,Jc,Th
0, 5, 10, 500, 500, Tc,5c,Td,Kh,8s,4h,4d,4s,6s,9s,As,3d,3s,Ks,Th,Jh,7h,Kd,Ts,5d,5h,8c,6h,Qh,Js,Qs,5s,7s,3h,7c,9c,Qc,2c,6d,Jd,7d,8d,Kc,6c,4c,Ah,2s,Qd,9h,8h,2d,9d,3c,Ac,Jc,Ad,2h
0, 5, 10, 500, 500, 6c,2c,2s,2h,Kd,3c,Jd,5h,Ts,3d,4c,5s,8s,9h,7h,7d,3h,Jh,6h,Js,Kh,9c,7s,Qd,Ah,Ad,6d,4d,4h,Qh,Qs,3s,5c,Tc,5d,9d,Td,Jc,9s,Ks,4s,7c,8h,6s,As,8d,Kc,2d,Th,Qc,8c,Ac
0, 5, 10, 500, 500, 3c,Jh,5h,Ts,7c,4h,4d,8s,Qh,Kd,Ad,9h,6c,6h,3h,Js,8d,5d,8h,Ah,Kc,4s,9c,6s,Qc,Qs,8c,2s,7d,Ks,Kh,Td,2c,Tc,Jc,5s,9d,9s,Th,2d,As,Ac,3d,4c,5c,Jd,3s,2h,7s,Qd,6d,7h
0, 5, 10, 500, 500, 8h,8d,4d,9c,5h,Jd,Tc,2s,4h,8c,Kh,Ks,5c,Qh,5d,6d,2d,Ts,7d,Kc,9h,4c,Ah,7c,6c,4s,2c,6h,Td,Qs,2h,3s,7h,8s,9d,Jh,Qd,3c,6s,Qc,7s,5s,3h,Jc,3d,As,Ac,Js,9s,Ad,Th,Kd
0, 5, 10, 500, 500, 3s,Js,Ac,7d,8c,Td,4s,5h,2h,3c,5d,3h,Kd,6h,2d,Qd,4d,8h,9d,7c,Qc,3d,Jc,6d,Jd,Ts,As,9s,8s,5s,8d,Ad,Kh,6s,Th,Kc,4c,2c,Ah,2s,7s,7h,9h,Jh,Qs,Tc,Qh,5c,9c,Ks,4h,6c
0, 5, 10, 500, 500, 4d,Js,3c,Jc,Kc,Ts,4s,5h,2h,2s,8d,8s,6c,3d,Th,Jd,3h,8c,As,9s,7d,6d,6h,Jh,Qh,2c,7c,7h,Qc,Ad,5d,Ks,2d,5s,3s,7s,Ac,Kd,8h,Kh,5c,9c,Td,9h,Qs,Qd,4h,9d,4c,6s,Ah,Tc
0, 5, 10, 500, 500, 8d,2s,Ad,Qh,3c,8c,3s,9h,5d,6d,8s,Jd,Qs,Jc,7c,4s,Tc,Td,As,6c,2d,5h,2c,4c,9s,4h,2h,8h,4d,5s,Ah,5c,7s,Jh,Th,Js,9c,Qd,9d,3d,3h,7d,Qc,6h,Kd,Ts,Kc,Ac,6s,Ks,Kh,7h
0, 5, 10, 500, 500, Kc,2s,7s,Jh,7d,8h,9h,6d,4s,Ts,5s,3s,9s,Jc,2d,5h,4c,Ad,As,8s,2h,5d,7c,6h,8d,4h,Td,9c,Qs,4d,3c,7h,6c,Qh,Tc,3h,8c,Qd,Qc,Ac,Jd,3d,Kd,6s,Ks,Th,Js,2c,Kh,5c,Ah,9d
0, 5, 10, 500, 500, 7s,2c,Jd,3s,Ac,Qc,5s,9c,4s,Tc,Kd,6d,4d,7h,9s,5c,As,3h,8s,5d,2s,6h,2d,7d,6c,Jc,Jh,Kc,9h,Ts,4h,8c,9d,Th,Qs,Js,Qd,3d,Td,4c,7c,2h,8d,5h,Kh,8h,Ad,3c,Ks,Qh,6s,Ah
0, 5, 10, 500, 500, 2h,7c,Kc,9s,Js,Jd,5c,6c,7s,2s,As,8d,8s,Kd,8c,5s,6h,7h,2d,Jc,Td,4c,Qc,Ks,Tc,Qd,6s,4h,9d,Qs,3s,Kh,Ah,5h,4s,3d,Th,3h,Ac,2c,Jh,3c,Ts,8h,9h,7d,5d,4d,Qh,6d,9c,Ad
0, 5, 10, 500, 500, 4d,3c,7s,2s,9c,Ah,6h,As,Td,9s,4c,Jc,8d,8c,7d,8h,Jh,3h,Qh,9d,Kh,Ks,5h,Kd,6s,7h,Jd,Qc,5c,3s,5d,3d,Kc,Qd,2c,5s,4h,2d,2h,Th,Js,Ts,Qs,4s,Ad,6c,8s,7c,9h,Tc,6d,Ac
0, 5, 10, 500, 500, 6s,Kc,2s,Jh,6d,7d,7s,3c,5s,2h,Kh,5c,Ad,8h,Jc,7h,Ts,Jd,Qs,8c,5d,Tc,4d,7c,2d,9c,Ac,4s,9h,Js,5h,Qd,Qh,8s,Kd,8d,4c,Qc,9s,3d,3s,Th,Td,Ks,6h,As,4h,2c,6c,9d,Ah,3h
0, 5, 10, 500, 500, Td,2c,Jd,7s,7h,Qs,3h,5c,Ts,2s,3c,2d,8c,9h,4s,7c,3s,Kh,8h,Ac,Kd,6d,Tc,Qh,5d,Ks,4h,7d,8d,Th,5s,8s,5h,3d,6h,6s,Jc,Qd,Qc,9c,6c,4c,Ah,Js,4d,Kc,As,Ad,2h,9s,9d,Jh
0, 5, 10, 500, 500, 2h,6c,Ah,Qh,7c,9d,As,Qs,Td,Tc,6h,Jd,7h,2d,3s,5d,7s,4h,8s,5s,5c,2c,4d,5h,4c,8d,3h,Kc,8h,Js,Th,Qd,Ac,2s,Kh,9c,3d,8c,3c,Jh,Ad,Jc,7d,9s,9h,6s,Ts,6d,4s,Ks,Qc,Kd
